TrialIndex,SessionIndex,TargetRule,Choice,CuePosition,Reward,Group,Overtrain,RT,RuleChangeTrials,NewSessionTrials,StartDate
1,1,go right,left,left,no,notOT,no,0.8,0,0,06-Mar-2023
2,1,go right,right,right,yes,notOT,no,0.4,0,0,06-Mar-2023
3,1,go right,left,left,no,notOT,no,0.4,0,0,06-Mar-2023
4,1,go right,left,right,no,notOT,no,0.4,0,0,06-Mar-2023
5,1,go right,left,left,no,notOT,no,0.4,0,0,06-Mar-2023
6,1,go right,right,right,yes,notOT,no,0.4,0,0,06-Mar-2023
7,1,go right,left,left,no,notOT,no,0.4,0,0,06-Mar-2023
8,1,go right,right,right,yes,notOT,no,0.4,0,0,06-Mar-2023
9,1,go right,right,left,yes,notOT,no,0.4,0,0,06-Mar-2023
10,1,go right,right,right,yes,notOT,no,0.4,0,0,06-Mar-2023
11,1,go right,right,right,yes,notOT,no,0.4,0,0,06-Mar-2023
12,1,go right,right,left,yes,notOT,no,0.8,0,0,06-Mar-2023
13,1,go right,right,right,yes,notOT,no,0.4,0,0,06-Mar-2023
14,1,go right,left,left,no,notOT,no,0.4,0,0,06-Mar-2023
15,1,go right,left,left,no,notOT,no,0.4,0,0,06-Mar-2023
16,1,go right,right,right,yes,notOT,no,0.4,0,0,06-Mar-2023
17,1,go right,right,left,yes,notOT,no,0.4,0,0,06-Mar-2023
18,1,go right,right,right,yes,notOT,no,0.4,0,0,06-Mar-2023
19,1,go right,right,right,yes,notOT,no,0.4,0,0,06-Mar-2023
20,1,go right,left,left,no,notOT,no,0.6,0,0,06-Mar-2023
21,1,go right,left,left,no,notOT,no,0.6,0,0,06-Mar-2023
22,1,go right,right,right,yes,notOT,no,0.6,0,0,06-Mar-2023
23,1,go right,right,right,yes,notOT,no,0.6,0,0,06-Mar-2023
24,1,go right,left,left,no,notOT,no,0.4,0,0,06-Mar-2023
25,1,go right,right,left,yes,notOT,no,0.4,0,0,06-Mar-2023
26,1,go right,right,right,yes,notOT,no,0.4,0,0,06-Mar-2023
27,1,go right,right,right,yes,notOT,no,0.4,0,0,06-Mar-2023
28,1,go right,right,left,yes,notOT,no,0.2,0,0,06-Mar-2023
29,1,go right,right,right,yes,notOT,no,0.4,0,0,06-Mar-2023
30,1,go right,right,left,yes,notOT,no,0.4,0,0,06-Mar-2023
31,1,go right,right,left,yes,notOT,no,0.4,0,0,06-Mar-2023
32,1,go right,left,right,no,notOT,no,1.8,0,0,06-Mar-2023
33,1,go right,left,right,no,notOT,no,0.4,0,0,06-Mar-2023
34,1,go right,right,left,yes,notOT,no,0.4,0,0,06-Mar-2023
35,1,go right,right,right,yes,notOT,no,0.2,0,0,06-Mar-2023
36,1,go right,right,left,yes,notOT,no,0.2,0,0,06-Mar-2023
37,1,go right,right,left,yes,notOT,no,0.4,0,0,06-Mar-2023
38,1,go right,right,right,yes,notOT,no,0.4,0,0,06-Mar-2023
39,1,go right,left,left,no,notOT,no,0.6,0,0,06-Mar-2023
40,1,go right,left,right,no,notOT,no,0.4,0,0,06-Mar-2023
41,1,go right,right,left,yes,notOT,no,0.4,0,0,06-Mar-2023
42,1,go right,right,right,yes,notOT,no,0.4,0,0,06-Mar-2023
43,1,go right,right,right,yes,notOT,no,0.4,0,0,06-Mar-2023
44,1,go right,right,left,yes,notOT,no,0.4,0,0,06-Mar-2023
45,1,go right,right,left,yes,notOT,no,0.4,0,0,06-Mar-2023
46,1,go right,right,right,yes,notOT,no,0.2,0,0,06-Mar-2023
47,1,go right,right,left,yes,notOT,no,0.6,0,0,06-Mar-2023
